Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Cecchini, Garin",507500,GOOD,Salary was parsed,2016,MLB,False
"Cecil, Brett",3800000,GOOD,Salary was parsed,2016,MLB,False
"Ceciliani, Darrell",507500,GOOD,Salary was parsed,2016,MLB,False
"Cedeno, Xavier",,NONE,No salary value was present,2016,MLB,False
"Cervelli, Francisco",3500000,GOOD,Salary was parsed,2016,MLB,False
"Cespedes, Yoenis",20833333,GOOD,Salary was parsed,2016,MLB,True
"Cessa, Luis",507500,GOOD,Salary was parsed,2016,MLB,False
"Chafin, Andrew",507500,GOOD,Salary was parsed,2016,MLB,False
"Chapman, Aroldis",11325000,GOOD,Salary was parsed,2016,MLB,True
"Chapman, Kevin",507500,GOOD,Salary was parsed,2016,MLB,False
"Chargois, J.T.",507500,GOOD,Salary was parsed,2016,MLB,False
"Chatwood, Tyler",1000000,GOOD,Salary was parsed,2016,MLB,False
"Chavez, Jesse",4000000,GOOD,Salary was parsed,2016,MLB,False
"Chen, Wei-Yin",8600000,GOOD,Salary was parsed,2016,MLB,False
"Chirinos, Robinson",1550000,GOOD,Salary was parsed,2016,MLB,False
"Chisenhall, Lonnie",2725000,GOOD,Salary was parsed,2016,MLB,False
"Choi, Ji-Man",507500,GOOD,Salary was parsed,2016,MLB,False
"Choo, Shin-Soo",20000000,GOOD,Salary was parsed,2016,MLB,True
"Cingrani, Tony",507500,GOOD,Salary was parsed,2016,MLB,False
"Cishek, Steve",4000000,GOOD,Salary was parsed,2016,MLB,False
"Claudio, Alex",507500,GOOD,Salary was parsed,2016,MLB,False
"Clevenger, Steve",507500,GOOD,Salary was parsed,2016,MLB,False
"Clevinger, Mike",507500,GOOD,Salary was parsed,2016,MLB,False
"Clippard, Tyler",6100000,GOOD,Salary was parsed,2016,MLB,False
"Cobb, Alex",4000000,GOOD,Salary was parsed,2016,MLB,False
"Coghlan, Chris",4800000,GOOD,Salary was parsed,2016,MLB,False
"Colabello, Chris",507500,GOOD,Salary was parsed,2016,MLB,False
"Cole, A.J.",507500,GOOD,Salary was parsed,2016,MLB,False
"Cole, Gerrit",541000,GOOD,Salary was parsed,2016,MLB,False
"Coleman, Louis",750000,GOOD,Salary was parsed,2016,MLB,False
"Collins, Tim",1475000,GOOD,Salary was parsed,2016,MLB,False
"Collins, Tyler",507500,GOOD,Salary was parsed,2016,MLB,False
"Collmenter, Josh",1850000,GOOD,Salary was parsed,2016,MLB,False
"Colome, Alex",507500,GOOD,Salary was parsed,2016,MLB,False
"Colon, Bartolo",7250000,GOOD,Salary was parsed,2016,MLB,False
"Colon, Christian",518425,GOOD,Salary was parsed,2016,MLB,False
"Conforto, Michael",507500,GOOD,Salary was parsed,2016,MLB,False
"Conger, Hank",1500000,GOOD,Salary was parsed,2016,MLB,False
"Conley, Adam",507500,GOOD,Salary was parsed,2016,MLB,False
"Contreras, Carlos",507500,GOOD,Salary was parsed,2016,MLB,False
"Contreras, Willson",507500,GOOD,Salary was parsed,2016,MLB,False
"Cook, Ryan",1100000,GOOD,Salary was parsed,2016,MLB,False
"Cooney, Tim",507500,GOOD,Salary was parsed,2016,MLB,False
"Corbin, Patrick",2525000,GOOD,Salary was parsed,2016,MLB,False
"Cordero, Jimmy",507500,GOOD,Salary was parsed,2016,MLB,False
"Correa, Carlos",507500,GOOD,Salary was parsed,2016,MLB,False
"Cosart, Jarred",,NONE,No salary value was present,2016,MLB,False
"Cotham, Caleb",507500,GOOD,Salary was parsed,2016,MLB,False
"Cotton, Jharel",507500,GOOD,Salary was parsed,2016,MLB,False
"Cowart, Kaleb",507500,GOOD,Salary was parsed,2016,MLB,False
"Cowgill, Collin",1000000,GOOD,Salary was parsed,2016,MLB,False
"Coyle, Sean",507500,GOOD,Salary was parsed,2016,MLB,False
"Cozart, Zack",2925000,GOOD,Salary was parsed,2016,MLB,False
"Craig, Allen",9000000,GOOD,Salary was parsed,2016,MLB,False
"Cravy, Tyler",507500,GOOD,Salary was parsed,2016,MLB,False
"Crawford, Brandon",6000000,GOOD,Salary was parsed,2016,MLB,False
"Crawford, Carl",21607143,GOOD,Salary was parsed,2016,MLB,True
"Crick, Kyle",507500,GOOD,Salary was parsed,2016,MLB,False
"Crisp, Covelli",11000000,GOOD,Salary was parsed,2016,MLB,True
"Crockett, Kyle",507500,GOOD,Salary was parsed,2016,MLB,False
"Cron, C.J.",507500,GOOD,Salary was parsed,2016,MLB,False
"Cruz, Nelson",14250000,GOOD,Salary was parsed,2016,MLB,True
"Cruz, Tony",507500,GOOD,Salary was parsed,2016,MLB,False
"Cueto, Johnny",15833333,GOOD,Salary was parsed,2016,MLB,True
"Cunningham, Todd",507500,GOOD,Salary was parsed,2016,MLB,False
"Cuthbert, Cheslor",507500,GOOD,Salary was parsed,2016,MLB,False
"d'Arnaud, Travis",507500,GOOD,Salary was parsed,2016,MLB,False
"Danks, John",15750000,GOOD,Salary was parsed,2016,MLB,True
"Darvish, Yu",10000000,GOOD,Salary was parsed,2016,MLB,True
"Davidson, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Davies, Zach",507500,GOOD,Salary was parsed,2016,MLB,False
"Davis, Chris",21118782,GOOD,Salary was parsed,2016,MLB,True
"Davis, Khris",507500,GOOD,Salary was parsed,2016,MLB,False
"Davis, Rajai",5250000,GOOD,Salary was parsed,2016,MLB,False
"Davis, Rookie",,NONE,No salary value was present,2016,MLB,False
"Davis, Wade",8000000,GOOD,Salary was parsed,2016,MLB,False
"De Aza, Alejandro",5750000,GOOD,Salary was parsed,2016,MLB,False
"De Fratus, Justin",750000,GOOD,Salary was parsed,2016,MLB,False
"De La Rosa, Jorge",12500000,GOOD,Salary was parsed,2016,MLB,True
